CO_ESCOLA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,TP_DEPENDENCIA_ADM_ESC,CO_UF_ESC,TP_LOCALIZACAO_ESC,QTD_ALUNOS,MEDIA_GERAL,STD_NOTAS,NOTA_MAX,NOTA_MIN,DIF_MT_LC,DIF_CN_CH,PCT_NU_NOTA_CN,PCT_NU_NOTA_CH,PCT_NU_NOTA_LC,PCT_NU_NOTA_MT,PCT_NU_NOTA_REDACAO,cluster
41125436.0,463.35,496.63125,518.4625,481.8125,657.5,2.0,41.0,2.0,16,523.55125,77.55508229034703,657.5,463.35,-36.64999999999998,-33.28125,0.37877053870677674,0.5136924711845009,0.5203956511076596,0.37537807569688547,0.6391318564538543,0
41125541.0,481.75151515151515,505.2060606060606,531.5242424242424,513.0363636363636,703.6363636363636,2.0,41.0,1.0,66,547.0309090909091,89.34773563028307,703.6363636363636,481.75151515151515,-18.4878787878788,-23.45454545454544,0.5825226845418131,0.5837488759911714,0.653805280797842,0.6016512711518025,0.7443390828087959,0
41125649.0,481.12456140350884,487.8736842105263,524.3964912280702,497.85263157894735,621.0526315789474,2.0,41.0,1.0,57,522.46,57.520890345163636,621.0526315789474,481.12456140350884,-26.54385964912285,-6.749122807017443,0.5763917272950216,0.43971225373988393,0.5830131611215564,0.5033107169132673,0.5232158914411836,0
41125770.0,495.0296296296296,493.5814814814815,523.3592592592593,487.7,534.8148148148148,2.0,41.0,1.0,27,506.8970370370371,20.839101983237278,534.8148148148148,487.7,-35.65925925925927,1.4481481481481069,0.6856045123845337,0.4867162592986185,0.5719774380773318,0.4218916046758767,0.20583667129894548,0
41125940.0,472.5142857142857,502.7857142857143,519.1928571428572,515.5,565.7142857142857,2.0,41.0,1.0,14,515.1414285714286,33.70420415246472,565.7142857142857,472.5142857142857,-3.6928571428571786,-30.2714285714286,0.48810594294122456,0.5637210823183193,0.5282432763835527,0.6145671544183765,0.3072018311125644,0
41125983.0,493.325,510.51875,535.81875,496.53125,617.5,2.0,41.0,1.0,16,530.73875,51.313036956691136,617.5,493.325,-39.28750000000002,-17.193750000000023,0.6740783127605657,0.6238044633368757,0.6953322978827761,0.49252023215891444,0.5103000081746096,0
41126114.0,512.33,529.5600000000001,549.35,516.22,634.0,2.0,41.0,1.0,10,548.292,50.04934335233579,634.0,512.33,-33.129999999999995,-17.230000000000018,0.7751164881876891,0.7384533638518761,0.7937545982179351,0.6183274748630753,0.5673587836180822,0
41126122.0,451.1666666666667,500.56666666666666,524.4833333333333,486.31666666666666,670.0,2.0,41.0,1.0,12,526.5066666666667,84.4965471023652,670.0,451.1666666666667,-38.166666666666686,-49.39999999999998,0.22692716422790812,0.5456551949644405,0.5837897490394833,0.41150985040464316,0.6718711681517208,0
41126386.0,449.18,459.14,481.26000000000005,480.1,556.0,2.0,41.0,1.0,10,485.13599999999997,41.92468580681315,556.0,449.18,-1.160000000000025,-9.95999999999998,0.20313905011035724,0.20542794081582605,0.17951442818605412,0.35894711027548437,0.2740537889315785,0
41126670.0,468.3545454545454,491.8636363636364,513.7363636363636,469.37272727272733,638.1818181818181,2.0,41.0,1.0,11,516.3018181818181,70.63961569675419,638.1818181818181,468.3545454545454,-44.36363636363632,-23.509090909090958,0.4397939998365078,0.4718384697130712,0.47093926265020847,0.25978909507071035,0.5795389520150412,0
