CO_ESCOLA,TP_DEPENDENCIA_ADM_ESC,QTD_ALUNOS,MEDIA_GERAL,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,cluster
11014156.0,2.0,57,473.3333333333333,437.63157894736844,441.7421052631579,465.7263157894737,466.1280701754386,555.438596491228,0
11014300.0,2.0,20,484.65299999999996,455.18500000000006,462.60999999999996,490.35,472.12,543.0,0
11014431.0,2.0,101,501.0730693069307,460.5425742574257,459.95742574257423,491.43861386138616,470.45643564356436,622.9702970297029,0
11015500.0,2.0,15,499.48533333333324,456.9533333333333,472.3266666666667,492.4266666666666,474.3866666666666,601.3333333333334,0
11015608.0,2.0,32,521.44375,458.059375,476.865625,501.11875,456.79999999999995,714.375,1
11015624.0,2.0,97,529.0954639175258,482.91340206185566,497.74948453608243,514.9515463917526,514.1927835051547,635.6701030927835,1
11015632.0,2.0,43,536.127906976744,489.46511627906966,494.3232558139535,516.4,503.24186046511625,677.2093023255813,1
11015667.0,2.0,36,519.1488888888889,497.04999999999995,493.64166666666665,508.7944444444444,492.92499999999995,603.3333333333334,0
11015683.0,2.0,53,497.40566037735846,460.8528301886792,471.2301886792453,485.766037735849,470.68867924528297,598.4905660377359,0
11015896.0,4.0,40,549.5255,480.76000000000005,512.96,524.095,492.3125,737.5,1
11016094.0,2.0,37,514.4599999999999,465.93513513513517,499.3837837837837,505.4783783783783,491.2324324324325,610.2702702702703,0
11017120.0,2.0,40,497.54200000000003,456.33000000000004,469.1375,477.0125,450.73000000000013,634.5,0
11017384.0,2.0,30,514.8399999999999,470.48666666666674,473.51666666666665,499.9100000000001,506.2866666666667,624.0,0
11017422.0,2.0,17,493.5094117647059,441.2529411764706,450.1882352941177,459.05294117647054,484.1117647058823,632.9411764705883,0
11017775.0,2.0,39,535.2097435897437,485.44102564102576,500.59999999999997,510.2871794871794,499.72051282051297,680.0,1
11017791.0,2.0,89,504.99932584269663,482.8280898876405,482.47528089887646,507.6213483146067,482.1842696629213,569.8876404494382,0
11018089.0,2.0,59,537.3976271186441,479.9203389830508,499.40338983050844,508.15254237288144,511.37627118644076,688.1355932203389,1
11018267.0,2.0,16,490.1137500000001,449.76250000000005,475.44375,489.09375,496.26875,540.0,0
11018810.0,2.0,29,487.0,458.303448275862,464.58275862068973,471.6862068965517,485.94482758620694,554.4827586206897,0
11018950.0,2.0,19,510.5073684210526,485.8157894736842,463.821052631579,499.43157894736834,500.31052631578945,603.1578947368421,0
11019115.0,2.0,14,441.24285714285713,421.6142857142857,423.79285714285714,422.07857142857137,433.0142857142858,505.7142857142857,0
11019140.0,2.0,36,494.62333333333333,450.9611111111111,456.65000000000003,484.63333333333344,459.2055555555555,621.6666666666666,0
11019948.0,2.0,32,532.908125,486.88125,466.95624999999995,500.57187500000003,508.88125,701.25,1
11019956.0,4.0,33,534.7654545454545,474.8,485.5181818181818,529.8787878787879,475.75151515151515,707.8787878787879,1
11020326.0,2.0,33,461.5424242424243,454.93636363636364,444.13333333333327,475.4424242424242,451.3818181818182,481.8181818181818,0
11020504.0,2.0,49,485.4208163265306,443.09183673469386,448.70000000000005,472.0163265306122,463.295918367347,600.0,0
11021403.0,2.0,49,471.1191836734694,455.2959183673469,455.35102040816327,484.73061224489794,456.5448979591837,503.6734693877551,0
11022221.0,2.0,81,528.8461728395062,471.16790123456786,490.22469135802464,504.2172839506173,507.7567901234567,670.8641975308642,1
11022981.0,2.0,92,501.1102173913043,467.3902173913043,468.6467391304348,478.6434782608696,478.69673913043476,612.1739130434783,0
11023678.0,2.0,85,486.4891764705882,455.275294117647,453.27764705882345,479.1388235294117,466.6364705882353,578.1176470588235,0
11024097.0,2.0,63,486.8930158730159,450.9888888888889,446.70634920634916,477.0190476190476,468.32222222222225,591.4285714285714,0
11024437.0,2.0,60,508.98266666666666,461.03166666666675,482.73833333333334,489.26000000000005,475.8833333333333,636.0,0
11024682.0,2.0,50,482.93359999999996,445.708,455.776,481.342,467.042,564.8,0
11024968.0,2.0,37,556.3713513513513,498.2945945945946,514.7729729729729,526.0756756756757,531.3621621621622,711.3513513513514,1
11025638.0,2.0,50,508.94879999999995,465.74600000000004,460.6600000000001,493.73599999999993,473.80199999999996,650.8,0
11025670.0,4.0,27,572.2488888888889,512.9925925925926,524.3222222222222,521.4,583.2703703703704,719.2592592592592,1
11025697.0,2.0,11,472.5654545454545,458.74545454545455,490.67272727272723,505.64545454545447,438.67272727272723,469.09090909090907,0
11026073.0,2.0,28,511.87999999999994,465.6821428571429,472.4142857142857,487.2321428571428,496.2142857142858,637.8571428571429,0
11026197.0,2.0,33,464.39575757575756,448.3212121212121,460.86060606060613,470.4848484848485,461.7060606060606,480.6060606060606,0
11026278.0,2.0,98,506.7885714285714,469.00306122448984,482.64897959183673,505.4928571428572,487.0020408163264,589.795918367347,0
11026324.0,4.0,57,615.2070175438597,546.1298245614036,550.1578947368422,554.1017543859649,617.9263157894737,807.719298245614,1
11027290.0,4.0,64,570.6009375000001,508.30625000000003,532.50625,537.9796875000001,552.0250000000001,722.1875,1
11027312.0,2.0,20,500.00699999999995,462.855,469.95,490.66499999999996,474.56499999999994,602.0,0
11027320.0,2.0,44,488.41045454545457,476.31818181818176,464.7727272727272,498.93181818181824,487.0295454545454,515.0,0
11027355.0,4.0,15,446.23999999999995,439.8533333333333,419.0266666666667,471.94666666666666,421.70666666666665,478.6666666666667,0
